annee,academie,bac_general Inscrits,bac_general Présents,bac_general Réussite,bac_general Réussite (chiffres),bac_general AB,bac_general B,bac_general TB,bac_pro Inscrits,bac_pro Présents,bac_pro Réussite,bac_pro AB,bac_pro B,bac_pro TB,bac_techno Inscrits,bac_techno Présents,bac_techno Réussite,bac_techno AB,bac_techno B,bac_techno TB
2013,GUYANE,1109,1090,"0,8201834862",894,197,78,54,1181,1154,"0,6551126516",156,29,1,761,732,"0,7759562842",78,16,0
2013,LA REUNION,4592,4562,"0,9101271372",4152,1083,725,569,3282,3255,"0,7192012289",584,121,10,2842,2790,"0,8688172043",590,189,34
2013,LILLE,19966,19770,"0,9144157815",18078,4900,3259,2578,13609,13430,"0,7791511541",3388,1125,156,9258,9065,"0,8728075014",2466,821,159
2013,LIMOGES,3005,2978,"0,9247817327",2754,810,477,323,1689,1671,"0,8049072412",483,177,17,1380,1346,"0,8647845468",362,109,22
2013,LYON,16165,15992,"0,930090045",14874,4357,2915,1618,8064,7917,"0,8039661488",2277,637,96,6825,6709,"0,8582501118",1561,449,82
2013,MARTINIQUE,2086,2047,"0,9149975574",1873,466,270,140,1874,1828,"0,7822757112",357,68,2,1297,1248,"0,8878205128",223,49,8
2013,MAYOTTE,1368,1357,"0,6617538688",898,136,53,30,724,715,"0,6545454545",63,8,1,1313,1291,"0,5398915569",82,14,1
2013,MONTPELLIER,12939,12792,"0,9130706692",11680,3344,2047,1274,7316,7197,"0,788939836",1895,620,95,5838,5730,"0,887609075",1496,475,68
2013,NANCY-METZ,11158,11059,"0,9181661995",10154,2867,1913,1270,6948,6881,"0,7804098242",1827,597,79,5407,5304,"0,8557692308",1369,479,77
2013,NANTES,17869,17751,"0,9509323418",16880,5407,3210,1800,9443,9303,"0,8327421262",2717,811,96,6950,6869,"0,9178919785",2065,657,118
2013,NICE,10761,10583,"0,9142965133",9676,2611,1812,1165,5200,5072,"0,7929810726",1293,401,71,4073,3989,"0,8588618701",947,315,56
2013,ORLEANS-TOURS,12299,12178,"0,9221547052",11230,3196,2032,1239,6011,5926,"0,7892338846",1571,500,61,5071,4976,"0,8735932476",1353,411,82
2013,PARIS,16254,15959,"0,9186039226",14660,4054,3188,2353,5795,5594,"0,788344655",1432,515,69,3999,3864,"0,8532608696",1024,369,77
2013,POITIERS,8007,7940,"0,9285894207",7373,2153,1291,794,4377,4318,"0,7920333488",1124,391,44,3264,3223,"0,8969903816",918,263,45
2013,REIMS,6233,6188,"0,8996444732",5567,1526,965,554,3828,3783,"0,7972508591",1033,341,39,2685,2650,"0,8701886792",716,204,32
2013,RENNES,16523,16427,"0,9488037986",15586,4993,3047,1682,8074,7982,"0,8476572288",2463,834,115,6922,6836,"0,9059391457",1895,488,61
2013,ROUEN,9514,9431,"0,9113561658",8595,2404,1391,974,5676,5603,"0,7893985365",1436,555,98,4158,4066,"0,8566158387",975,330,57
2013,STRASBOURG,9294,9205,"0,9422053232",8673,2599,1908,1268,5132,5056,"0,7814477848",1268,468,59,3878,3812,"0,8919202518",1048,390,77
2013,TOULOUSE,14200,14084,"0,9336836126",13150,3889,2529,1561,7100,7001,"0,8145979146",1960,696,112,5761,5648,"0,8978399433",1480,463,82
2013,VERSAILLES,33968,33523,"0,9174894848",30757,8678,5974,3617,14960,14633,"0,7473518759",3296,1024,117,13045,12730,"0,841555381",3014,879,126
2014,AIX-MARSEILLE,15300,15130,"0,8938532716",13524,3670,2261,1395,9086,8863,"0,8031140697",2512,845,137,6377,6241,"0,8887998718",1746,578,81
2014,AMIENS,8937,8868,"0,8773116825",7780,1997,1290,851,6604,6517,"0,7890133497",1784,665,91,4208,4138,"0,8726437893",1099,349,74
2014,BESANCON,5703,5642,"0,9186458703",5183,1474,869,582,3621,3602,"0,8353692393",1146,410,42,2288,2258,"0,928255093",785,304,52
2014,BORDEAUX,16013,15858,"0,9181485685",14560,4001,2505,1457,9211,9112,"0,8622695347",3010,1143,156,5944,5879,"0,9244769519",1932,681,96
2014,CAEN,7217,7174,"0,9167828269",6577,1797,1132,740,4415,4385,"0,8583808438",1409,551,57,2732,2697,"0,9325176122",914,266,40
2014,CLERMONT-FERRAND,5757,5723,"0,9204962432",5268,1579,956,625,3582,3539,"0,8601299802",1223,461,62,2288,2257,"0,9282233053",768,219,33
2014,CORSE,1291,1278,"0,9507042254",1215,339,203,166,687,676,"0,8328402367",204,86,12,564,556,"0,9550359712",173,59,14
