Nom,Circonscription,Date,Echéance,Prolongation,Démission,Nom,Ministère,Lien,Lien prolongation
Rémi Pauvros,,02/12/2014,02/06/2015,,,,"secrétaire d'Etat chargé des transports, de la mer et de la pêche",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029830706,
Christian Franqueville,,19/12/2014,19/06/2015,,,,"ministre de l'agriculture, de l'agroalimentaire et de la forêt",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029925978,
Fanny Dombre-Coste,,12/01/2015,12/07/2015,,,Évaluer la mise en oeuvre du droit d'information des salariés en cas de cession d'une entreprise,"ministre de l'économie, de l'industrie et du numérique, secrétaire d'Etat chargée du commerce, de l'artisanat, de la consommation et de l'économie sociale et solidaire",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030084464,
Christine Pirès-Beaune,,16/01/2015,16/07/2015,,,Réforme de la dotation globale de fonctionnement        ,"ministre de la décentralisation et de la fonction publique, secrétaire d'Etat chargé de la réforme territoriale et du secrétaire d'Etat chargé du budget",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030126931,
Christophe Sirugue,,20/01/2015,20/07/2015,,,Mise en oeuvre du compte personnel de prévention de la pénibilité,"ministre des affaires sociales, de la santé et des droits des femmes, ministre du travail, de l'emploi, de la formation professionnelle et du dialogue social",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030073749,
Bernard Gérard,,20/01/2015,20/07/2015,,,les contrôles de Urssaf,"ministre des finances et des comptes publics, ministre des affaires sociales, de la santé et des droits des femmes, secrétaire d'Etat chargé de la réforme de l'Etat et de la simplification",,
Marc Goua,,21/01/2015,21/07/2015,,,,"ministre des finances et des comptes publics, ministre des affaires sociales, de la santé et des droits des femmes, secrétaire d'Etat chargé de la réforme de l'Etat et de la simplification",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030133258,
Sébastien Pietrasanta,,26/01/2015,26/07/2015,,,"Mise en oeuvre d'un moyen de sortie de radicalisation pour lutter contre 
le terrorisme",ministre de l'intérieur,http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030290143,
Annie Genevard,,28/01/2015,28/07/2015,,,,Premier ministre,http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030158402,
Martine Faure,,04/02/2015,04/08/2015,,,Service public de l'archéologie préventive        ,ministre de la culture et de la communication,http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030191523,
