"I","P","Heure De Collecte","Url Source","Titre","Competiton","Type","Realise Par","Pays","Awards","Duree","Premier Film","Categorie4","Annee"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/321/year/1988.html","L'ENFANCE DE L'ART","En Compétition","Longs Métrages","Francis GIROD","FRANCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3287/year/1960.html","LA PROCESION (LA PROCESSION)","En Compétition","Longs Métrages","Francis LAURIC","ARGENTINE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/1043/year/1985.html","DERBORENCE","En Compétition","Longs Métrages","Francis REUSSER","SUISSE, FRANCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3102/year/1963.html","EL BUEN AMOR","En Compétition","Longs Métrages","Francisco REGUEIRO","ESPAGNE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2672/year/1968.html","TRILOGY","En Compétition","Longs Métrages","Franck PERRY","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2482/year/1970.html","I TULIPANI DI HAARLEM (LES TULIPES DE HARLEM)","En Compétition","Longs Métrages","Franco BRUSATI","ITALIE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/836/year/1986.html","OTELLO","En Compétition","Longs Métrages","Franco ZEFFIRELLI","ITALIE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4278140/year/2005.html","SIN CITY","En Compétition","Longs Métrages","Frank MILLER Robert RODRIGUEZ","ÉTATS-UNIS","Prix Vulcain de l'Artiste-Technicien, décerné par la C.S.T., 2005","123.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4357/year/1946.html","MUZI BEZ KIDEL (LES HOMMES SANS AILES)","En Compétition","Longs Métrages","Frantisek CAP","","Grand Prix, 1946","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3351/year/1959.html","HELDEN (LE HEROS ET LE SOLDAT)","En Compétition","Longs Métrages","Franz Peter WIRTH","ALLEMAGNE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2102/year/1976.html","LA GRIFFE ET LA DENT","En Compétition","Longs Métrages","François BEL Gérard VIENNE","FRANCE","Grand Prix de la Commission Supérieure Technique du cinéma français, 1976","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/1100087/year/2001.html","LA CHAMBRE DES OFFICIERS","En Compétition","Longs Métrages","François DUPEYRON","FRANCE","","135.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4086864/year/2003.html","SWIMMING POOL","En Compétition","Longs Métrages","François OZON","FRANCE","","102.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/11409938/year/2013.html","JEUNE & JOLIE","En Compétition","Longs Métrages","François OZON","FRANCE","","95.00 minutes","","","2013"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3308/year/1960.html","L'AMERIQUE INSOLITE VUE PAR FRANCOIS REICHENBACH","En Compétition","Longs Métrages","François REICHENBACH","FRANCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2190/year/1975.html","NO OYES LADRAR LOS PERROS? (ENTENDS-TU ABOYER LES CHIENS?)","En Compétition","Longs Métrages","François REICHENBACH","MEXIQUE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3470/year/1959.html","LES QUATRE CENTS COUPS","En Compétition","Longs Métrages","François TRUFFAUT","FRANCE","Prix de la mise en scène, 1959","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2940/year/1964.html","LA PEAU DOUCE","En Compétition","Longs Métrages","François TRUFFAUT","FRANCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3483/year/1958.html","L'EAU VIVE","En Compétition","Longs Métrages","François VILLIERS","FRANCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/1958/year/1978.html","THE CHANT OF JIMMIE BLACKSMITH (LA COMPLAINTE DE JIMMIE BLACKSMITH)","En Compétition","Longs Métrages","Fred SCHEPISI","AUSTRALIE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/232/year/1989.html","A CRY IN THE DARK (UN CRI DANS LA NUIT)","En Compétition","Longs Métrages","Fred SCHEPISI","AUSTRALIE, ROYAUME-UNI","Prix d'interprétation féminine, 1989","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4155/year/1949.html","ACT OF VIOLENCE (ACTE DE VIOLENCE)","En Compétition","Longs Métrages","Fred ZINNEMANN","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3801/year/1954.html","FROM HERE TO ETERNITY (TANT QU'IL Y AURA DES HOMMES)","En Compétition","Longs Métrages","Fred ZINNEMANN","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4363/year/1946.html","VELIKIY PERELOM (LE TOURNANT DECISIF)","En Compétition","Longs Métrages","Friedrich ERMLER","","Grand Prix International de la Société des Auteurs et Compositeurs Dramatiques (, 1946;Grand Prix, 1946","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4003/year/1952.html","NEKRI POLITEIA (CITE MORTE)","En Compétition","Longs Métrages","Frixos HELIADES","GRÈCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2762/year/1967.html","DEN RODE KAPPE (LA MANTE ROUGE)","En Compétition","Longs Métrages","Gabriel AXEL","DANEMARK","Mention spéciale de la Commission Supérieure Technique, 1967","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4307/year/1946.html","CAESAR AND CLEOPATRA (CESAR ET CLEOPATRE)","En Compétition","Longs Métrages","Gabriel PASCAL","ROYAUME-UNI","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4790/year/1997.html","NIL BY MOUTH (NE PAS AVALER)","En Compétition","Longs Métrages","Gary OLDMAN","ROYAUME-UNI","Prix d'interprétation féminine, 1997","110.00 minutes","1","er film",""
