"Agence","Code","Département","Nombre de retours à l'emploi","Taux de paiements dans les délais","Taux de satisfaction des demandeurs d'emploi","Taux de satisfaction des entreprises","Nombre de demandeurs d'emploi","Taille moyenne des portefeuilles suivis","Taille moyenne des portefeuilles guidés","Taille moyenne des portefeuilles renforcés"
"SAINT ANDRE","REU0042",974,4066,"92 %","55 %","71 %",9335,327,301,63
"SAINT BENOIT","REU0043",974,4155,"93 %","66 %","71 %",9528,390,342,93
"SAINT CHAMOND","RHA0164",42,3945,"95 %","69 %","65 %",3552,143,99,73
"SAINT CLAUDE","FRC0020",3970,3007,"96 %","71 %","68 %",2194,334,160,60
"SAINT CYR SUR LOIRE","CEN0038",37,4784,"94 %","56 %","67 %",3925,280,187,68
"SAINT DENIS REUNION","REU0040",974,4589,"89 %","52 %","71 %",9273,273,247,70
"SAINT DIE DES VOSGES","LOR0013",88,4127,"93 %","75 %","76 %",5158,268,105,71
"SAINT DIZIER","CHA0008",52,3530,"94 %","63 %","71 %",4439,325,176,71
"SAINT ETIENNE CLAPIER","RHA0143",42,3314,"92 %","66 %","65 %",3731,122,101,59
"SAINT ETIENNE TERRASSE","RHA0170",42,3641,"89 %","55 %","65 %",3696,218,114,66
"SAINT FLOUR","AUV0051",4315,1690,"89 %","ND","70 %",1282,178,118,66
"SAINT FONS","RHA0069",69,3071,"84 %","ND","62 %",2853,562,121,53
"SAINT FRANCOIS","GUA0026",971,1931,"90 %","65 %","65 %",5938,211,134,50
"SAINT GAUDENS","MPY0119",31,4722,"93 %","56 %","64 %",5185,281,154,81
"SAINT GIRONS","MPY0122",93265,1572,"96 %","70 %","75 %",2170,237,162,67
"SAINT JEAN","MPY0093",31,4674,"93 %","67 %","64 %",4041,163,102,100
"SAINT JEAN D ANGELY","PCH0071",17,2847,"84 %","69 %","65 %",2993,308,167,69
"SAINT JEAN DE LUZ","AQU0021",64,4582,"95 %","74 %","68 %",3831,348,137,58
"SAINT JEAN DE MAURIENNE","RHA0141",73,4532,"93 %","61 %","65 %",2640,120,108,51
"SAINT JOSEPH","REU0025",974,3739,"94 %","61 %","71 %",10362,402,334,68
"SAINT LEU REUNION","REU0018",974,3707,"90 %","53 %","71 %",7451,489,327,66
"SAINT LO","BNO0031",50,5213,"94 %","58 %","64 %",4350,217,205,78
"SAINT LOUIS","ALS0048",68,2977,"95 %","77 %","68 %",3671,253,168,94
"SAINT MALO","BRE0069",35,6748,"90 %","63 %","62 %",5623,193,141,64
"SAINT MARCELLIN","RHA0022",38,2194,"90 %","52 %","63 %",1939,273,183,15
"SAINT MARTIN CONCORDIA I","GUA0070",971,2257,"86 %","64 %","65 %","ND",389,187,92
"SAINT MARTIN D'HERES","RHA0041",38,6122,"94 %","74 %","63 %",5037,375,127,68
"SAINT MARTIN LES BOULOGNE","NPC0147",62,4716,"97 %","68 %","70 %",4903,433,171,69
"SAINT MAXIMIN","PAC0086",83,2903,"95 %","66 %","68 %",2865,365,144,71
"SAINT PAUL LES DAX","AQU0035",40,3969,"94 %","64 %","63 %",2955,398,147,70
"SAINT PAUL REUNION","REU0015",974,3939,"93 %","54 %","71 %",7804,398,345,66
"SAINT PIERRE","MAR0009",972,841,"94 %","ND","69 %",2093,183,312,70
"SAINT PIERRE DES CORPS","CEN0037",37,3578,"96 %","65 %","67 %",3194,227,138,72
"SAINT PIERRE ET MIQUELON","SPM0001",50,"ND","96 %","ND","64 %","ND",64,43,27
"SAINT PIERRE REUNION","REU0023",974,3834,"93 %","56 %","71 %",9473,451,302,66
"SAINT POL SUR TERNOISE","NPC0167",62,2071,"95 %","ND","70 %",2366,327,183,68
"SAINT PRIEST","RHA0091",69,5035,"93 %","61 %","62 %",4828,141,119,52
"SAINT QUENTIN CORDIER","PIC0056",2,4832,"93 %","58 %","67 %",6335,337,246,59
