"Agence","Code","Département","Nombre de retours à l'emploi","Taux de paiements dans les délais","Taux de satisfaction des demandeurs d'emploi","Taux de satisfaction des entreprises","Nombre de demandeurs d'emploi","Taille moyenne des portefeuilles suivis","Taille moyenne des portefeuilles guidés","Taille moyenne des portefeuilles renforcés"
"AMIENS MILLEVOYE","PIC0011",80,4771,"93 %","60 %","67 %",6222,339,480,99
"AMIENS TELLIER","PIC0019",80,3960,"93 %","54 %","67 %",5177,525,174,81
"ANCENIS","PDL0098",44,3586,"93 %","63 %","59 %",2289,194,152,66
"ANDERNOS","AQU0095",33,3413,"94 %","78 %","65 %",2903,344,155,70
"ANDREZIEUX BOUTHEON","RHA0158",42,4150,"94 %","58 %","65 %",3355,221,106,66
"ANGERS BALZAC","PDL0120",49,5797,"93 %","55 %","64 %",5678,266,134,70
"ANGERS CAPUCINS","PDL0112",49,6886,"92 %","58 %","64 %",6106,294,125,58
"ANGERS EUROPE","PDL0121",49,4866,"93 %","52 %","64 %",5319,357,150,61
"ANGERS LA ROSERAIE","PDL0117",49,5717,"93 %","56 %","64 %",5740,347,182,66
"ANGOULEME LA COURONNE","PCH0052",16,5678,"94 %","62 %","66 %",6327,464,172,51
"ANGOULEME SAINT-MARTIAL","PCH0049",16,5703,"94 %","65 %","66 %",5759,348,137,67
"ANNECY","RHA0107",74,6969,"94 %","69 %","60 %",4999,206,146,65
"ANNEMASSE","RHA0112",74,5441,"92 %","70 %","60 %",6781,356,138,67
"ANNONAY","RHA0201",726,3743,"93 %","68 %","66 %",3344,177,142,72
"ANTIBES VALLAURIS","PAC0152",6,8903,"94 %","71 %","66 %",8917,360,181,70
"ANTONY","IDF0198",92,5491,"94 %","64 %","58 %",5543,185,127,79
"ANTONY CADRES","IDF0429",92,1877,"95 %","67 %","58 %",2126,"ND","ND","ND"
"ANZIN","NPC0090",59,4629,"95 %","58 %","67 %",6476,253,182,94
"APT","PAC0113",84,1782,"96 %","78 %","66 %",2074,381,189,68
"ARC LES GRAY","FRC0017",3970,2377,"94 %","66 %","68 %",1946,346,171,88
"ARGELES SUR MER","LAN0011",66,3184,"93 %","64 %","65 %",3630,367,237,70
"ARGENTAN","BNO0015",61,2137,"93 %","77 %","64 %",2152,169,112,81
"ARGENTEUIL","IDF0116",95,7007,"91 %","56 %","62 %",8854,186,155,70
"ARGENTON SUR CREUSE","CEN0012",36,2806,"94 %","57 %","59 %",3187,386,233,79
"ARLES","PAC0050",13,7243,"93 %","55 %","62 %",7689,315,153,59
"ARMENTIERES","NPC0061",59,3460,"96 %","62 %","67 %",3595,211,147,79
"ARPAJON","IDF0143",91,4375,"94 %","64 %","62 %",3953,147,111,73
"ARRAS RIVAGE","NPC0136",62,4728,"93 %","60 %","70 %",4628,284,248,59
"ARRAS SYMPHORINE","NPC0169",62,3993,"94 %","72 %","70 %",4659,292,180,81
"ASNIERES-SUR-SEINE","IDF0159",92,4493,"93 %","70 %","58 %",4493,156,138,70
"AUBAGNE","PAC0052",13,5363,"96 %","70 %","62 %",5621,296,106,67
"AUBENAS","RHA0202",726,6791,"96 %","62 %","66 %",7733,350,224,65
"AUBERVILLIERS","IDF0253",93,5340,"95 %","60 %","69 %",7056,348,115,70
"AUBIGNY SUR NERE","CEN0101",18,1587,"92 %","49 %","62 %",1608,311,214,68
"AUBUSSON","LIM0020",2319,1368,"96 %","ND","68 %",1822,480,218,69
"AUCH","MPY0068",93265,4227,"93 %","70 %","75 %",4188,241,129,82
"AUDINCOURT","FRC0053",2590,2855,"93 %","64 %","65 %",3382,406,158,76
"AULNAY-SOUS-BOIS","IDF0254",93,5400,"94 %","59 %","69 %",6219,331,177,73
"AULNOYE AYMERIES","NPC0103",59,1301,"97 %","ND","67 %",1920,256,190,80
"AURAY","BRE0022",56,6613,"93 %","62 %","59 %",5589,272,156,73
"AURILLAC","AUV0048",4315,4957,"89 %","65 %","70 %",3886,310,169,67
"AUSSILLON","MPY0025",1281,2756,"95 %","71 %","68 %",2760,307,184,78
"AUTUN","BRG0042",71,1894,"97 %","74 %","67 %",1879,326,138,63
"AUXERRE CLAIRIONS","BRG0012",89,6570,"93 %","55 %","65 %",6458,328,142,65
"AVALLON","BRG0020",89,1805,"93 %","67 %","65 %",1946,202,125,86
"AVESNES SUR HELPE","NPC0104",59,2433,"97 %","ND","67 %",4166,261,169,76
"AVIGNON AGROPARC","PAC0112",84,4419,"94 %","60 %","66 %",5128,447,203,72
"AVIGNON APOLLINAIRE","PAC0120",84,2904,"93 %","ND","66 %",4400,344,158,71
"AVON","IDF0339",77,2399,"95 %","71 %","65 %",2345,165,158,58
"AVRANCHES","BNO0035",50,3679,"92 %","55 %","64 %",3016,313,192,73
"BAGNEUX","IDF0201",92,3325,"94 %","64 %","58 %",3761,240,134,86
"BAGNOLS SUR CEZE","LAN0034",3048,4836,"93 %","70 %","66 %",5557,369,121,91
"BAIE MAHAULT","GUA0018",971,2290,"90 %","51 %","65 %",5999,163,108,62
"BAILLEUL","NPC0063",59,2714,"95 %","58 %","67 %",2702,367,155,87
"BAPAUME","NPC0175",62,1406,"95 %","ND","70 %",1201,194,101,103
"BAR LE DUC","LOR0058",55,2911,"94 %","65 %","81 %",2990,253,138,68
"BAR SUR AUBE","CHA0063",10,1328,"92 %","ND","63 %",1729,181,162,89
"BARENTIN","HNO0031",76,3148,"95 %","61 %","61 %",2552,316,150,70
"BASSE TERRE DESMARAIS","GUA0013",971,1384,"91 %","ND","65 %",5333,176,159,51
"BASTIA","COR0015","2A2B",5668,"94 %","66 %","77 %",7142,477,236,47
"BAYEUX","BNO0059",14,4319,"93 %","58 %","67 %",3681,182,140,76
"BAYONNE MARINE","AQU0017",64,5363,"90 %","62 %","68 %",4448,346,171,69
"BEAUCAIRE","LAN0039",3048,3184,"81 %","52 %","66 %",3949,240,192,104
"BEAUNE","BRG0063",21,4786,"96 %","61 %","65 %",4020,373,165,76
"BEAUPREAU","PDL0116",49,4936,"96 %","59 %","64 %",3030,211,145,71
"BEAUVAIS DELIE","PIC0046",60,4145,"96 %","61 %","63 %",4814,369,247,71
"BEAUVAIS MYKONOS","PIC0032",60,6208,"96 %","57 %","63 %",6835,470,266,85
"BEGLES","AQU0113",33,2018,"92 %","58 %","65 %",1862,370,92,33
"BELFORT EUROPE","FRC0036",2590,4368,"96 %","68 %","65 %",5151,281,158,72
"BELFORT THIERS","FRC0042",2590,3051,"92 %","65 %","65 %",3391,269,157,77
"BELLAC","LIM0016",87,1706,"93 %","61 %","63 %",1753,357,184,70
"BELLEVILLE","RHA0066",69,2340,"84 %","64 %","62 %",1813,140,96,76
"BELLEY","RHA0224",1,2531,"94 %","72 %","59 %",2223,627,83,46
"BERCK","NPC0140",62,3972,"95 %","73 %","70 %",4189,462,176,96
"BERGERAC","AQU0066",24,5004,"94 %","63 %","66 %",6247,275,136,65
"BERNAY","HNO0063",27,3861,"91 %","59 %","64 %",4168,337,190,92
"BESANCON PALENTE","FRC0038",2590,4488,"94 %","64 %","65 %",3949,345,180,110
"BESANCON PLANOISE","FRC0052",2590,3721,"93 %","62 %","65 %",3973,424,270,83
"BESANCON TEMIS","FRC0025",2590,4696,"94 %","68 %","65 %",4186,396,177,92
"BETHUNE","NPC0142",62,4162,"93 %","70 %","70 %",5372,311,167,71
"BEZIERS CAPISCOL","LAN0067",34,7103,"95 %","70 %","67 %",8973,347,120,67
"BEZIERS COURONDELLE","LAN0054",34,6323,"93 %","68 %","67 %",8279,358,145,79
"BEZONS","IDF1462",95,1782,"95 %","ND","62 %",2023,191,137,69
"BIARRITZ","AQU0022",64,4568,"93 %","71 %","68 %",4029,320,127,77
"BLAGNAC","MPY0094",31,4806,"93 %","58 %","64 %",4225,213,110,83
"BLAIN","PDL0072",44,2747,"94 %","59 %","59 %",2085,156,139,84
"BLAYE","AQU0112",33,4076,"94 %","61 %","65 %",4313,329,146,71
"BLOIS GARE","CEN0043",41,5179,"92 %","58 %","68 %",4458,354,117,88
"BLOIS LYAUTEY","CEN0047",41,5567,"94 %","67 %","68 %",4882,270,139,65
"BOBIGNY","IDF0261",93,3382,"93 %","55 %","69 %",4768,182,170,75
"BOIS-COLOMBES CADRES","IDF0428",92,3630,"95 %","71 %","58 %",4221,"ND","ND","ND"
"BOLLENE","PAC0116",84,2800,"93 %","64 %","66 %",3064,352,159,69
"BONDY","IDF0251",93,4643,"96 %","57 %","69 %",6110,234,230,72
"BORDEAUX BASTIDE","AQU0107",33,3798,"93 %","57 %","65 %",3686,253,121,72
"BORDEAUX MERIADECK","AQU0101",33,6800,"95 %","65 %","65 %",6505,251,136,67
"BORDEAUX NORD","AQU0100",33,5645,"95 %","64 %","65 %",5602,329,156,63
"BORDEAUX SAINT JEAN","AQU0099",33,4227,"93 %","59 %","65 %",3828,236,126,56
"BOUCAU","AQU0010",64,5229,"91 %","61 %","68 %",4157,279,173,81
"BOUILLANTE","GUA0025",971,965,"94 %","63 %","65 %",3385,261,178,29
"BOULOGNE","NPC0144",62,4604,"97 %","73 %","70 %",6358,385,217,80
"BOULOGNE-BILLANCOURT","IDF0182",92,4758,"91 %","65 %","58 %",4780,162,210,49
"BOURG EN BRESSE","RHA0216",1,10058,"93 %","64 %","59 %",8073,212,103,58
"BOURGES BAUDENS","CEN0094",18,4919,"94 %","75 %","62 %",5620,327,168,71
"BOURGES PROSPECTIVE","CEN0100",18,3431,"94 %","66 %","62 %",4220,422,178,73
"BOURGOIN JALLIEU","RHA0037",38,3814,"95 %","62 %","63 %",3318,386,237,65
"BRESSUIRE","PCH0038",79,4010,"86 %","64 %","69 %",2876,503,199,68
"BREST EUROPE","BRE0032",29,5600,"95 %","62 %","64 %",5545,336,137,76
"BREST IROISE","BRE0049",29,5694,"92 %","58 %","64 %",5622,293,143,77
"BREST MARINE","BRE0039",29,4834,"95 %","57 %","64 %",5087,322,132,75
"BRETIGNY-SUR-ORGE","IDF0150",91,3208,"95 %","62 %","62 %",2966,367,125,65
"BRIANCON","PAC0141",405,4955,"95 %","76 %","72 %",2846,176,127,88
"BRIEY","LOR0046",54,3911,"90 %","68 %","68 %",4236,380,225,65
"BRIGNOLES","PAC0098",83,4700,"95 %","65 %","68 %",5675,347,198,82
"BRIOUDE","AUV0040",4315,2520,"93 %","62 %","70 %",2011,404,93,73
"BRIVE LA MARQUISIE","LIM0023",2319,6638,"92 %","63 %","68 %",6455,274,185,77
"BRON","RHA0079",69,3509,"88 %","48 %","62 %",3400,154,155,56
"BRUAY LA BUISSIERE","NPC0150",62,3695,"94 %","64 %","70 %",5140,331,189,69
"BRUNOY","IDF0144",91,5311,"93 %","49 %","62 %",5320,400,218,53
"CACHAN","IDF0288",94,3599,"95 %","70 %","62 %",3955,342,151,66
"CAEN CENTRE","BNO0054",14,2411,"91 %","45 %","67 %",2764,325,197,78
"CAEN EST","BNO0053",14,4492,"95 %","59 %","67 %",3951,288,115,64
"CAEN NORD","BNO0051",14,4140,"94 %","60 %","67 %",3955,208,155,68
"CAEN OUEST","BNO0062",14,3911,"93 %","57 %","67 %",3369,204,172,72
"CAEN SUD","BNO0061",14,3452,"93 %","56 %","67 %",3616,375,149,64
"CAGNES -SUR-MER","PAC0171",6,6088,"94 %","73 %","66 %",5978,330,187,78
"CAHORS HAUTESSERRE","MPY0046",4682,3858,"94 %","71 %","67 %",4386,266,111,66
"CALAIS MOLLIEN","NPC0151",62,4195,"94 %","59 %","70 %",5800,328,226,74
"CALAIS NATION","NPC0152",62,4314,"95 %","65 %","70 %",5628,261,202,64
"CALUIRE ET CUIRE","RHA0090",69,2084,"91 %","61 %","62 %",1924,136,96,64
"CAMBRAI","NPC0106",59,4170,"97 %","70 %","67 %",5752,355,154,68
"CANNES","PAC0164",6,3840,"95 %","67 %","66 %",4256,430,190,79
"CAPESTERRE LES FLAMBOYANTS","GUA0024",971,1294,"94 %","ND","65 %",5350,170,146,76
"CARCASSONNE","LAN0084",11,7118,"92 %","66 %","72 %",9190,318,158,86
"CARHAIX","BRE0046",29,3189,"91 %","64 %","64 %",3464,315,146,63
"CARMAUX","MPY0026",1281,1720,"93 %","70 %","68 %",1986,336,124,74
"CARPENTRAS","PAC0121",84,6836,"93 %","71 %","66 %",7916,384,229,62
"CARVIN","NPC0157",62,2361,"94 %","ND","70 %",3302,348,181,79
"CASTELGINEST","MPY0095",31,5912,"95 %","65 %","64 %",4924,184,113,56
"CASTELNAUDARY","LAN0092",11,2022,"95 %","79 %","72 %",2329,304,130,72
"CASTELSARRASIN","MPY0045",4682,5326,"95 %","57 %","67 %",5307,274,137,60
"CASTRES","MPY0023",1281,4725,"95 %","70 %","68 %",5324,187,127,57
"CAUDRY","NPC0108",59,2704,"96 %","75 %","67 %",3746,370,145,76
"CAVAILLON","PAC0115",84,4769,"94 %","68 %","66 %",5196,429,175,68
"CAYENNE BADUEL","GUY0008",973,2381,"91 %","62 %","72 %",5829,276,313,68
"CAYENNE COLLERY","GUY0003",973,2006,"90 %","ND","72 %",5105,262,209,87
"CAYENNE MONTABO","GUY0005",973,847,"92 %","ND","72 %",2650,259,281,68
"CENON","AQU0114",33,7051,"95 %","65 %","65 %",6967,317,138,64
"CERET","LAN0010",66,1913,"93 %","84 %","65 %",2551,303,209,63
"CERGY","IDF0113",95,9946,"94 %","60 %","62 %",10029,202,157,55
"CERGY CADRES","IDF0426",95,857,"96 %","77 %","62 %",946,"ND","ND","ND"
"CHALLANS","PDL0022",85,6121,"95 %","70 %","68 %",4953,270,161,83
"CHALON PARADIS","BRG0036",71,3957,"96 %","59 %","67 %",3725,298,159,72
"CHALON SAINT COSME","BRG0038",71,4896,"94 %","66 %","67 %",4103,202,223,53
"CHALONS EN CHAMPAGNE","CHA0035",51,5668,"89 %","64 %","71 %",5577,280,130,78
"CHAMALIERES","AUV0028",63,3348,"92 %","59 %","67 %",2964,247,155,84
"CHAMBERY COMBES","RHA0132",73,4575,"94 %","64 %","65 %",3806,99,127,59
"CHAMBERY JOPPET","RHA0135",73,4651,"94 %","64 %","65 %",3680,346,116,63
"CHAMPIGNY-SUR-MARNE","IDF0299",94,5766,"92 %","63 %","62 %",6534,336,161,78
"CHARLEVILLE MEZIERES MONTJOLY","CHA0038",8,2887,"94 %","67 %","67 %",4006,328,130,57
"CHARLEVILLE MEZIERES VAL DE VENCE","CHA0045",8,3349,"93 %","61 %","67 %",4347,230,123,75
"CHARTRES","CEN0088",28,5334,"93 %","63 %","60 %",4901,565,175,79
"CHATEAU DU LOIR","PDL0037",5372,1857,"89 %","ND","60 %",1895,348,146,82
"CHATEAU GONTIER","PDL0053",5372,2804,"95 %","69 %","60 %",1925,255,194,64
"CHATEAU THIERRY","PIC0061",2,4221,"93 %","61 %","67 %",4427,376,230,74
"CHATEAUBRIANT","PDL0088",44,3360,"84 %","46 %","59 %",2690,114,143,61
"CHATEAUDUN","CEN0086",28,2719,"94 %","58 %","60 %",2716,338,125,85
"CHATEAU-GOMBERT","PAC0039",13,6031,"93 %","69 %","62 %",8031,354,191,70
"CHATEAURENARD","PAC0044",13,4421,"96 %","64 %","62 %",4425,307,197,76
"CHATEAUROUX BALSAN","CEN0007",36,6200,"95 %","61 %","59 %",6207,493,146,72
"CHATELLERAULT","PCH0018",86,5358,"84 %","65 %","67 %",4371,280,177,71
"CHAUMONT","CHA0006",52,2905,"92 %","77 %","71 %",2701,304,105,68
"CHAUNY","PIC0060",2,3216,"95 %","65 %","67 %",4824,324,270,71
"CHELLES","IDF0348",77,4005,"95 %","63 %","65 %",4252,155,214,51
"CHERBOURG CENTRE","BNO0026",50,3177,"93 %","63 %","64 %",2984,318,150,45
"CHERBOURG LA NOÉ","BNO0030",50,2909,"91 %","69 %","64 %",2612,288,155,67
"CHERBOURG OUEST","BNO0036",50,3275,"95 %","57 %","64 %",3085,324,141,64
"CHESSY VAL D'EUROPE","IDF0344",77,3957,"92 %","67 %","65 %",3584,201,203,69
"CHINON","CEN0034",37,4051,"94 %","59 %","67 %",3552,507,158,81
"CHOISY-LE-ROI","IDF0300",94,6797,"94 %","63 %","62 %",7563,274,157,57
"CHOLET","PDL0111",49,7208,"94 %","70 %","64 %",5386,534,112,87
"CLERMONT EST","AUV0029",63,4332,"94 %","60 %","67 %",4931,198,185,70
"CLERMONT FITZ JAMES","PIC0041",60,5551,"96 %","62 %","63 %",5199,484,251,75
"CLERMONT L'HERAULT","LAN0075",34,4718,"93 %","69 %","67 %",5650,226,137,79
"CLERMONT NORD","AUV0017",63,4575,"89 %","50 %","67 %",4859,179,111,58
"CLERMONT OUEST","AUV0013",63,3094,"93 %","54 %","67 %",2979,219,145,68
"CLICHY-LA-GARÈNNE","IDF0196",92,3936,"92 %","66 %","58 %",4350,245,179,74
"CLICHY-SOUS-BOIS","IDF0259",93,5438,"95 %","56 %","69 %",6306,211,206,85
"CLISSON","PDL0080",44,3825,"91 %","66 %","59 %",2241,237,128,87
"CLOTILDE 2","REU0036",974,2264,"90 %","60 %","71 %",4605,273,234,75
"CLUSES","RHA0115",74,8627,"93 %","55 %","60 %",6602,895,170,72
"COGNAC","PCH0054",16,4716,"94 %","59 %","66 %",4287,358,153,68
"COLMAR EUROPE","ALS0045",68,4957,"94 %","63 %","68 %",4723,311,233,65
"COLMAR LACARRE","ALS0055",68,5017,"95 %","63 %","68 %",4766,299,233,122
"COLOMBES","IDF0184",92,4542,"94 %","63 %","58 %",5377,212,166,94
"COLOMIERS","MPY0092",31,6098,"93 %","62 %","64 %",5529,263,111,58
"COMBOURG","BRE0078",35,3615,"91 %","52 %","62 %",2687,263,161,78
"COMMERCY","LOR0062",55,2013,"93 %","65 %","81 %",2522,211,175,74
"COMPIEGNE DE LESSEPS","PIC0030",60,3948,"95 %","72 %","63 %",3410,393,153,76
"COMPIEGNE MARGNY","PIC0034",60,3679,"96 %","64 %","63 %",3393,340,184,90
"CONCARNEAU","BRE0050",29,3103,"95 %","50 %","64 %",2765,272,109,70
"CONDE SUR L'ESCAUT","NPC0109",59,2432,"95 %","76 %","67 %",3565,366,131,65
"CONDOM","MPY0069",93265,2538,"96 %","70 %","75 %",2411,205,130,85
"CONFLANS-SAINTE-HONORINE","IDF0382",78,3150,"95 %","70 %","58 %",2997,202,174,81
"CONFOLENS","PCH0056",16,2862,"94 %","66 %","66 %",3167,346,89,75
"CORBEIL-ESSONNES","IDF0135",91,7161,"95 %","63 %","62 %",6558,316,163,83
"COSNE COURS SUR LOIRE","BRG0026",58,2403,"93 %","65 %","71 %",2738,421,146,65
"COUDEKERQUE","NPC0023",59,4624,"95 %","66 %","67 %",5175,393,169,71
"COULOMMIERS","IDF0331",77,3968,"97 %","65 %","65 %",3711,369,141,65
"COURBEVOIE","IDF0186",92,5228,"93 %","63 %","58 %",5391,195,110,85
"COURNON","AUV0031",63,4758,"91 %","61 %","67 %",4388,324,114,68
"COUTANCES","BNO0034",50,3670,"93 %","68 %","64 %",3071,224,119,69
"CREIL MONTATAIRE","PIC0028",60,4199,"96 %","73 %","63 %",4335,417,219,80
"CREIL NOGENT","PIC0042",60,4058,"96 %","68 %","63 %",4403,392,441,73
"CREIL SAINT MAXIMIN","PIC0036",60,3484,"95 %","69 %","63 %",3427,299,266,64
"CREPY EN VALOIS","PIC0039",60,3223,"93 %","63 %","63 %",2890,316,240,53
"CREST","RHA0198",726,3677,"89 %","63 %","66 %",4011,254,140,85
"CRÉTEIL","IDF0286",94,5783,"92 %","64 %","62 %",6834,185,244,56
"CREUTZWALD","LOR0078",57,3872,"93 %","69 %","71 %",3388,250,131,66
"CROIX","NPC0039",59,2231,"96 %","54 %","67 %",2305,156,177,82
"CUSSET","AUV0058",3,3495,"96 %","67 %","64 %",3547,404,211,69
"DAMMARIE-LES-LYS","IDF0334",77,8086,"94 %","64 %","65 %",7804,257,147,69
"DAX","AQU0047",40,4464,"96 %","66 %","63 %",3370,225,138,70
"DECAZEVILLE","MPY0027",1281,1325,"96 %","74 %","68 %",1465,139,94,73
"DECIZE","BRG0022",58,2058,"96 %","59 %","71 %",2483,238,206,69
"DENAIN","NPC0111",59,5319,"97 %","73 %","67 %",7224,305,165,77
"DIEPPE","HNO0046",76,6997,"94 %","69 %","61 %",6776,333,143,69
"DIGNE","PAC0130",405,5235,"92 %","65 %","72 %",3334,342,237,92
"DIGOIN","BRG0046",71,3682,"96 %","64 %","67 %",3560,341,161,72
"DIJON EST","BRG0066",21,4619,"95 %","56 %","65 %",5110,340,201,75
"DIJON NORD","BRG0064",21,4656,"95 %","48 %","65 %",4651,351,225,95
"DIJON OUEST","BRG0056",21,4050,"95 %","65 %","65 %",4845,421,166,54
"DIJON SUD","BRG0051",21,4237,"92 %","53 %","65 %",4473,437,167,70
"DINAN","BRE0095",22,5771,"91 %","57 %","58 %",4787,185,108,75
"DOLE","FRC0023",3970,5192,"93 %","73 %","68 %",4472,301,159,61
"DOMONT","IDF0486",95,3502,"90 %","65 %","62 %",3492,209,164,51
"DOUAI","NPC0114",59,6697,"95 %","67 %","67 %",7487,343,161,78
"DOUARNENEZ","BRE0040",29,4101,"97 %","69 %","64 %",3929,358,151,76
"DOULLENS","PIC0014",80,1822,"94 %","ND","67 %",2324,558,217,98
"DOURDAN","IDF0139",91,1730,"92 %","67 %","62 %",1488,261,88,77
"DRAGUIGNAN","PAC0094",83,5562,"96 %","67 %","68 %",6317,466,131,77
"DRANCY","IDF0219",93,4072,"93 %","ND","69 %",5455,303,145,64
"DREUX","CEN0082",28,4290,"93 %","59 %","60 %",5105,366,148,67
"DUNKERQUE BAZENNES","NPC0065",59,3527,"97 %","66 %","67 %",4539,179,172,90
"DZOUMOGNE","REU0054",976,628,"ND","ND","ND",1968,240,159,70
"ECHIROLLES","RHA0025",38,5674,"94 %","59 %","63 %",4882,378,152,65
"ELBEUF","HNO0022",76,3998,"94 %","62 %","61 %",4279,409,149,74
"EPERNAY","CHA0028",51,3792,"91 %","74 %","71 %",3699,278,205,71
"EPINAL DUTAC","LOR0008",88,3670,"95 %","66 %","76 %",4313,319,147,76
"EPINAL VOIVRE","LOR0019",88,3658,"95 %","66 %","76 %",4771,270,174,68
"EPINAY-SUR-SEINE","IDF0238",93,4463,"95 %","66 %","69 %",5598,257,117,69
"ERMONT","IDF0109",95,9838,"90 %","61 %","62 %",10289,173,132,59
"ETAMPES","IDF0138",91,4200,"94 %","66 %","62 %",4041,251,139,62
"EVREUX BROSSOLETTE","HNO0059",27,5094,"93 %","58 %","64 %",5527,258,150,68
"EVREUX DELAUNE","HNO0065",27,4409,"92 %","67 %","64 %",4398,313,210,69
"EVRY","IDF0145",91,6168,"94 %","65 %","62 %",6202,313,130,83
"FALAISE","BNO0058",14,2841,"91 %","55 %","67 %",2410,132,153,77
"FECAMP","HNO0024",76,3371,"95 %","73 %","61 %",3424,327,178,76
"FIGEAC","MPY0047",4682,2634,"94 %","62 %","67 %",2081,286,94,59
"FIRMINY","RHA0162",42,3002,"95 %","75 %","65 %",3649,399,97,68
"FLERS","BNO0013",61,4662,"87 %","62 %","64 %",4317,345,108,67
"FOIX","MPY0123",93265,2844,"96 %","72 %","75 %",3198,149,141,71
"FONTAINE","RHA0026",38,5337,"93 %","65 %","63 %",4406,456,123,74
"FONTENAY LE COMTE","PDL0021",85,4201,"89 %","62 %","68 %",3431,284,168,63
"FONTENAY-SOUS-BOIS","IDF0295",94,2651,"94 %","51 %","62 %",2865,170,124,66
"FORBACH CARREFOUR EUROPE","LOR0084",57,2924,"94 %","81 %","71 %",3667,246,176,61
"FORBACH VILLE HAUTE","LOR0067",57,2781,"93 %","76 %","71 %",4012,359,139,43
"FORGES LES EAUX","HNO0026",76,2920,"97 %","69 %","61 %",2796,236,167,70
"FORT DE FRANCE KERLYS","MAR0021",972,3827,"93 %","55 %","69 %",9095,455,229,75
"FOUGERES","BRE0074",35,4162,"93 %","48 %","62 %",3192,260,120,74
"FREJUS","PAC0093",83,4242,"96 %","68 %","68 %",4210,300,183,61
"FRIVILLE ESCARBOTIN","PIC0015",80,3222,"95 %","72 %","67 %",3440,495,208,113
"FUTUROSCOPE","PCH0022",86,3441,"87 %","60 %","67 %",2396,378,158,70
"GAILLAC","MPY0021",1281,2614,"95 %","64 %","68 %",2861,197,168,79
"GAP","PAC0135",405,7866,"93 %","60 %","72 %",6272,248,139,78
"GARDANNE","PAC0054",13,4613,"95 %","66 %","62 %",4399,315,147,72
"GARGES-LÈS-GONESSE","IDF0114",95,4437,"92 %","58 %","62 %",5142,281,140,70
"GENNEVILLIERS","IDF0187",92,4555,"93 %","59 %","58 %",5860,259,157,74
"GERARDMER","LOR0018",88,1271,"92 %","ND","76 %",1055,175,171,57
"GIEN","CEN0060",45,4071,"93 %","66 %","63 %",3799,265,219,69
"GISORS","HNO0205",27,3125,"88 %","65 %","64 %",2856,264,228,83
"GIVORS","RHA0088",69,3220,"92 %","73 %","62 %",3383,198,163,71
"GOLFE ST TROPEZ","PAC0099",83,6126,"93 %","72 %","68 %",6153,266,150,74
"GONESSE","IDF0120",95,6989,"92 %","58 %","62 %",6718,205,117,72
"GRANDE SYNTHE","NPC0035",59,3298,"96 %","76 %","67 %",4048,250,170,62
"GRANVILLE","BNO0033",50,3165,"87 %","56 %","64 %",2689,346,159,67
"GRASSE","PAC0170",6,5892,"90 %","70 %","66 %",6049,255,155,78
"GRAULHET","MPY0024",1281,3092,"95 %","72 %","68 %",3123,246,128,88
"GRAVELINES","NPC0070",59,2496,"96 %","ND","67 %",2410,204,208,101
"GRENOBLE ALLIES","RHA0240",38,2443,"87 %","55 %","63 %",2663,601,108,44
"GRENOBLE EUROPOLE","RHA0032",38,3522,"94 %","63 %","63 %",3305,160,110,70
"GRENOBLE MUSSET","RHA0021",38,2964,"93 %","70 %","63 %",3235,370,113,55
"GUEBWILLER","ALS0046",68,3631,"94 %","62 %","68 %",3304,202,143,101
"GUERET","LIM0017",2319,3383,"92 %","70 %","68 %",3784,463,309,88
"GUINGAMP","BRE0096",22,4762,"96 %","56 %","58 %",4794,216,149,65
"GUYANCOURT","IDF0383",78,4335,"94 %","64 %","58 %",3881,111,109,79
"GUYANCOURT CADRES","IDF0432",78,2779,"94 %","76 %","58 %",3099,"ND","ND","ND"
"HAGONDANGE","LOR0099",57,4732,"93 %","67 %","71 %",4458,323,116,64
"HAGUENAU","ALS0020",67,6666,"96 %","70 %","65 %",5859,630,147,54
"HALLUIN","NPC0040",59,3414,"97 %","66 %","67 %",3392,259,177,67
"HAM","PIC0016",80,2199,"95 %","ND","67 %",2043,297,190,137
"HARFLEUR","HNO0032",76,3510,"95 %","74 %","61 %",3296,251,179,70
"HAUBOURDIN","NPC0058",59,4659,"96 %","56 %","67 %",4892,271,168,69
"HAYANGE","LOR0098",57,4510,"89 %","73 %","71 %",5445,268,162,89
"HAZEBROUCK","NPC0041",59,2450,"96 %","58 %","67 %",2528,103,146,72
"HEM","NPC0009",59,2447,"97 %","59 %","67 %",2537,157,191,88
"HENIN-BEAUMONT","NPC0158",62,5882,"96 %","63 %","70 %",5565,349,173,59
"HERBLAY","IDF0112",95,3996,"91 %","65 %","62 %",4119,191,127,64
"HEROUVILLE","BNO0060",14,3599,"92 %","59 %","67 %",3542,231,155,77
"HESDIN","NPC0160",62,2054,"94 %","54 %","70 %",2257,326,303,106
"HIRSON","PIC0062",2,1389,"96 %","ND","67 %",2286,422,187,95
"HONFLEUR","BNO0057",14,3257,"93 %","67 %","67 %",3025,199,105,83
"HYERES","PAC0092",83,6477,"94 %","76 %","68 %",6683,246,195,66
"ILE ROUSSE","COR0020","2A2B",2024,"95 %","ND","77 %",2200,487,198,72
"ISSOIRE","AUV0023",63,3364,"94 %","62 %","67 %",3076,281,154,59
"ISSOUDUN","CEN0015",36,1653,"93 %","61 %","59 %",1766,205,123,74
