Column 1,Column 2,Type,Column 3,Column 4
2015/4/558,vidéo « Danse pour toi » de Likesberry,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,7572
2015/4/781,vidéo « Il faut vivre » de Shy'm,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,9980
2015/4/787,vidéo « J'ai encore rêvé d'elle » d'Amaury Vassili,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,10000
2015/4/230,vidéo « Je sors ce soir » de Barbara Opsomer,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,10059
2015/4/878,vidéo « J'écoute du Miles Davis » de Navii,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,7706
2015/4/378,vidéo « Just need your love » de Hyphen Hyphen,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,12476
2015/4/466,vidéo « Le Pain » de Soprano,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,10000
2015/4/610,vidéo « Le temps » de Tenny,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,7994
2015/4/231,vidéo « Like a maniac » de Tenny & Masca,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,8000
2015/4/233,vidéo « Mieux que nous » de M Pokora,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,18821
2015/4/705,vidéo « Millionnaire » de Soprano,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,12481
2015/4/114,video « On s'en va » de Shy'm,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,28000
2015/4/252,"vidéo « Quelque chose de magique » de Florent 
Mothe & Camille Lou",Vidéo / Droits de tirage,WARNER MUSIC FRANCE,15886
2015/4/232,vidéo « Street of Philadelphia » de Tal & Irma,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,8169
2015/4/465,vidéo « Sweet Sweet Fanta Diallo » de Magic System,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,10019
2015/4/780,vidéo « Tandem » de Shy'm,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,2000
2015/4/611,vidéo « Tombouctou » de Inna Modja,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,4000
2015/4/890,vidéo « Toute seule » de Likesberry,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,8371
2015/4/806,vidéo « Un autre monde » de Superbus,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,12783
2015/4/607,vidéo « Voir la nuit s'emballer » de M Pokora,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,20209
2015/4/342,vidéo « Voulez vous danser » de Presteej,Vidéo / Droits de tirage,WARNER MUSIC FRANCE,6000
2015/1672/933,vidéo « Rien qu'une Fois » de Keen V,Vidéo / Droits de tirage,YP,15306
2015/1672/344,vidéo « Saltimbanque » de Keen V,Vidéo / Droits de tirage,YP,10400
2015/1484/939,tournée de Mountain Men,Spectacles vivants / Droits de tirage,SARL ECHO PRODUCTIONS,5125
2015/1/545,tournée de Thomas Dutronc,Spectacles vivants / Droits de tirage,UNIVERSAL MUSIC FRANCE,17548
2015/2468/111,tournée de Black Bomb A,Spectacles vivants / Droits de tirage,VERYCORDS,6857
2015/4/861,tournée de Johnny Hallyday,Spectacles vivants / Droits de tirage,WARNER MUSIC FRANCE,9953
2015/4/270,tournée de Sianna,Spectacles vivants / Droits de tirage,WARNER MUSIC FRANCE,4000
2015/4/377,CD « Les stars font leur cinéma »,Musique / Droits de tirage,WARNER MUSIC FRANCE,47136
2015/1672/715,CD de Keen'V,Musique / Droits de tirage,YP,32578
2015/2422/346,"vidéo « Darling » de Théodore, Paul & Gabriel »",Vidéo / Droits de tirage,BELLEVILLE MUSIQUE,8260
2015/390/364,vidéo « Résiste »,Vidéo / Droits de tirage,CMBM,8049
2015/1579/117,vidéo « Discoteka » de Kamaléon,Vidéo / Droits de tirage,LES EDITIONS GERARD TEMPESTI,7744
2015/2739/892,vidéo « Kidiye » de Bana C4,Vidéo / Droits de tirage,MUKONGO BUSINESS LTD,8488
2015/2739/882,vidéo « Teranga » de Sam's,Vidéo / Droits de tirage,MUKONGO BUSINESS LTD,10284
