ID,Nom,Année de naissance,Age,Ecole,ENA,Poste origine,Origine privé ou public,Sexe,Poste,Présidence (O/N),Date entrée,Recrutement interne,Date sortie,Mobilité interne,Poste sortie,Sortie public ou privé,Date de sortie poste de sortie,Durée,Lien
55,Isabelle Sima,1971,45,IEP Toulouse,0,,,Femme,Chef de cabinet,1,12/06/2013,1,,,,,,1097,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027696967
56,Axel Cavaleri,22/04/1973,43,HEC,0,"Directeur adjoint en charge des personnes handicapées et de la lutte contre l'exclusion au cabinet de la ministre des Affaires sociales et de la Santé, Marisol Touraine",Public,Homme,Chef adjoint de cabinet,1,26/06/2013,,01/01/2015,,Directeur général des Ateliers de l'Accessibilité,Privé,,554,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027755112,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030000048,http://dirigeant.societe.com/dirigeant/Axel.CAVALERI.31868207.html,http://www.acteurspublics.com/biographies/detail/142073"
54,Patrice Hugret,inconnue,inconnu,inconnue,0,,,Homme,Etat-major particuler,1,15/07/2013,,,,,,,1064,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027650346
57,Frédéric Parisot,inconnue,inconnu,inconnue,0,,,Homme,Etat-major particuler,1,02/09/2013,,,,,,,1015,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027755109
58,Vincent Berger,28/10/1967,49,Normal Sup,0,,,Homme,Conseiller enseignement supérieur et recherche,1,11/10/2013,1,31/08/2015,,Directeur du pôle Science de la matière du CEA,Public,,689,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028056579,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031112240,https://fr.wikipedia.org/wiki/Vincent_Berger"
59,Jean-Jacques Barbéris,1980,36,ENA (Aristide Briand),1,"Conseiller chargé du financement des entreprises, de la concurrence, de la consommation et des professions libérales au cabinet du ministre de l'Économie et des Finances, Pierre Moscovici",Public,Homme,"Conseiller concurrence, commerce extérieure et prospective",1,13/11/2013,,01/03/2016,1,Conseiller organisations non gouvernementales de la présidence de la République,Public,,839,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028193899&categorieLien=id,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
94,Philippe Vinçon,18/01/1964,52,"Ecole nationale du génie rural, des eaux et des forêt",0,"Chef du service des relations internationales à la direction générale des politiques agricole, agroalimentaire et des territoires du ministère de l'Agriculture, de l'Agroalimentaire et de la Forêt",,Homme,"Conseiller agriculture, développement rural et pêche",1,06/01/2014,,12/05/2016,,"Directeur général de l'enseignement et de la recherche au ministère de l'Agriculture, de l'Agroalimentaire et de la Forêt",Public,,857,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028437069,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032528133&fastPos=53&fastReqId=385529116&categorieLien=id&oldAction=rechTexte,http://agriculture.gouv.fr/philippe-vincon-nomme-directeur-general-de-lenseignement-et-de-la-recherche,http://www.acteurspublics.com/biographies/detail/11257"
67,Patrice Biancone,1954,62,Science-Po,0,,,Homme,Conseillers en charge des questions relatives à la vie associative et aux organisations non gouvernementales,1,11/03/2014,,01/03/2016,1,Conseiller organisations non gouvernementales au cabinet du président de la République,Public,,721,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028714083,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
76,Jean-Yves Bocquet,01/06/1973,43,ENA (Victor Schoelcher),1,,,Homme,Conseiller en charge des interventions et études,1,11/03/2014,,,,,,,825,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028714086
61,Jean-Pierre Jouyet,13/02/1954,62,ENA (Voltaire),1,,,Homme,Secrétaire général,1,16/04/2014,,,,,,,789,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028856496
77,Gaspard Gantzer,08/09/1979,37,ENA (Léopold Sédar Senghor),1,,,Homme,"Conseiller chargé des relations avec la presse, chef du pôle communication",1,23/04/2014,,,,,,,782,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028868656
64,Jacques Audibert,01/10/1960,56,ENA (Michel de Montaigne),1,,,Homme,"Conseiller, sherpa G7-G8",1,22/05/2014,,,,,,,753,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028967922
71,Xavier Piechaczyk,1969,47,Ecole nationale des ponts et chaussées,0,"Conseiller chargé du développement durable et des transports au cabinet du Premier ministre, Jean-Marc Ayrault",Public,Homme,Conseiller transports et environnement,1,29/05/2014,,01/10/2015,,Membre du directoire de RTE,Entreprise publique,,490,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029009673,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031251298,http://www.rte-france.com/sites/default/files/2015_09_29_cp_rte_nouveau_directoire_rte.pdf,http://www.acteurspublics.com/biographies/detail/93035"
68,Nathalie Iannetta,15/05/1972,44,Maîtrise de sciences politiques,0,,,Femme,Conseillère sport,1,12/06/2014,,01/03/2016,1,"Conseillère sport, jeunesse, engagement et vie associative de la présidence de la République",Public,,628,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029095497&categorieLien=id,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
75,Cyril Piquemal,1981,35,ENA (Simone Veil),1,,,Homme,Conseiller Europe et enjeux globaux,1,01/07/2014,,01/03/2016,1,"Conseiller affaires européennes bilatérales, Balkan et enjeux globaux de la présidence de la République",Public,,609,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029167842&categorieLien=id,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
74,Laurence Boone,15/05/1969,47,Doctorat d'économie,0,Managing Director et cheffe économiste Europe chez BofA Merrill Lynch Global Research ,Privé,Femme,Conseillère économie et finances,1,15/07/2014,,01/03/2016,,Chef économiste chez Axa,Privé,,595,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029238135,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id,https://fr.wikipedia.org/wiki/Laurence_Boone"
78,Adrien Abecassis,1982,34,IEP Paris,0,,,Homme,Conseiller affaires bilatérales européennes,1,15/07/2014,,01/03/2016,1,Conseiller affaires économiques et financières nationales et européennes de la présidence de la République,Public,,595,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029238138,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
79,Sophie Martin-Lang,inconnue,inconnu,inconnue,0,,,Femme,Conseillère affaires communautaires,1,15/07/2014,,,,,,,699,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029238138
80,Alice Rufo,1983,33,ENA (Emile Zola),1,,,Femme,Conseillère sommets internationaux et Asie,1,15/07/2014,,01/03/2016,1,"Conseillère sommets internationaux, Nations unies, Amériques et Asie de la présidence de la République",Public,,595,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029238138,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
81,Julien Marchal,inconnue,inconnu,Polytechnique,0,"Adjoint chef du bureau affaires extérieures de l'énergie nucléaire au ministère de l'Écologie, du Développement durable et de l'Énergie ",Public,Homme,"Conseiller, adjoint énergie et logement",1,15/07/2014,,01/10/2014,,"Conseiller énergie, environnement et industries extractives au cabinet du ministre de l'Economie, de l'Industrie et du Numérique",Public,,78,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029238138,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029527261,https://fr.linkedin.com/in/julien-marchal-bb5a322b,http://www.acteurspublics.com/biographies/detail/146378"
82,Thomas Mélonio,1980,36,HEC,0,,,Homme,"Conseiller, adjoint Afrique",1,15/07/2014,,,,,,,699,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029238138
73,François Revardeaux,inconnue,inconnu,DEA de langues romanes,0,,,Homme,Conseiller affaires stratégiques,1,01/08/2014,,01/03/2016,1,"Conseiller affaires stratégiques, Russie, Europe orientale hors UE, Caucase, Asie centrale et politique extérieure de l'UE de la présidence de la République",Public,,578,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029310742,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
72,François-Xavier Blin,inconnue,inconnu,inconnue,0,,,Homme,Etat-major particuler,1,08/08/2014,,,,,,,675,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029213342&categorieLien=id
62,Audrey Azoulay,04/08/1972,44,ENA (Averroès),1,Directrice générale déléguée du Centre national du cinéma et de l’image animée,Public,Femme,Conseillère culture et communication,1,29/08/2014,,12/02/2016,,Ministre de la Culture,Public,,532,"https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=BCB895743605C42C285948DF392A46D2.tpdjo08v_2?cidTexte=JORFTEXT000029413496&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000029413489,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032036312&categorieLien=id,http://www.acteurspublics.com/biographies/detail/72836"
63,Jean-Christophe Perrochon,inconnue,inconnu,inconnue,0,,,Homme,Médecin en chef,1,02/09/2014,,,,,,,650,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029490029
95,Julien Pouget,inconnue,inconnu,Corps des Mines,0,,,Homme,Conseiller industrie,1,29/09/2014,,01/03/2016,1,Conseiller industrie et numérique,Public,,519,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029522429,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
65,Nathalie Destais,1969,47,ENA (René Char),1,,,Femme,Conseillère protection sociale et autonomie,1,01/10/2014,,,,,,,621,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029527264
70,Françoise Tomé,1957,59,ENM,0,,,Femme,Conseillère justice,1,01/10/2014,,19/05/2016,,Conseil d'Etat,Public,,596,"https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=302B187F1B3B14E10214D963F0EAA80C.tpdjo17v_3?cidTexte=JORFTEXT000029413492&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000029413489,http://abonnes.lemonde.fr/politique/article/2016/05/18/a-l-elysee-des-departs-en-serie-signent-la-fin-d-une-epoque_4921171_823448.html"
66,Boris Vallaud,1976,40,ENA (Léopold Sédar Senghor),1,,,Homme,Secrétaire général adjoint,1,17/11/2014,,,,,,,574,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029762361
69,Delphine Prady,inconnue,inconnu,ENS Cachan,0,"Conseillère en charge de l'économie de l'emploi et des affaires européennes et internationales au cabinet du ministre du Travail, de l'Emploi, de la Formation professionnelle et du Dialogue social, François Rebsamen",Public,Femme,"Conseillère, adjointe énergie, environnement, transports et logement",1,17/11/2014,,18/01/2016,,Experte économique à la division des politiques d'interventions budgétaire au Fond monétaire international,Public,,427,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029762364,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031845097,view-source:http://www.acteurspublics.com/biographies/detail/140621,http://www.acteurspublics.com/biographies/detail/140621"
118,Thierry Rey,01/06/1959,57,inconnu,0,,,Homme,"Conseiller spécial en charge des grands événements sportifs internationaux au cabinet du ministre de la Ville, de la Jeunesse et des Sports",,24/11/2014,,,,,,,567,https://www.whoswho.fr/bio/thierry-rey_7864
87,Christophe Pierrel,1985,31,Master de sciences politiques,0,,,Homme,Chef adjoint de cabinet,1,05/01/2015,,,,,,,525,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030045845
89,Thierry Lataste,01/01/1954,62,ENA (Henri-François d'Aguesseau),1,,,Homme,Directeur de cabinet,1,05/01/2015,,20/06/2016,,Haut commissaire en Nouvelle Calédonie,Public,,532,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030026861,https://twitter.com/davidrevdal/status/735381538196623360"
90,Constance Rivière,03/07/1980,36,ENA (Aristide Briand),1,,,Femme,Directrice adjointe de cabinet,1,05/01/2015,1,12/02/2016,1,Conseillère spéciale chargée de la culture et de la citoyenneté à la présidence de la République,Public,,403,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030026861,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032036312&categorieLien=id"
117,Anne Courrèges,1977,39,ENA (Copernic),1,,,Femme,Directrice générale de l'Agence de la biomédecine,,05/01/2015,,,,,,,525,"http://www.agence-biomedecine.fr/Anne-Courreges-nommee-directrice,683"
88,Rodolphe Gintz,1977,39,Ecole nationale des ponts et chaussées,0,,,Homme,Conseiller finances publiques,1,13/04/2015,,,,,,,427,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030483482
91,Arnaud Guerry,inconnue,inconnu,inconnue,0,,,Homme,Etat-major particuler,1,01/06/2015,,,,,,,378,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030768767
114,Alain Zabulon,27/06/1955,61,ENA (Michel de Montaigne),1,,,Homme,"Directeur de la Sûreté, du Management des Risques et de la Conformité de l'entreprise Aéroports de Paris",,01/06/2015,,,,,,,378,https://fr.wikipedia.org/wiki/Alain_Zabulon
84,Amaury Desrivières,inconnue,inconnu,Ecole de guerre,0,,,Homme,Etat-major particuler,1,17/07/2015,,,,,,,332,https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=E8E14714981BE60ADA4DFE5042830CF5.tpdila17v_1?cidTexte=JORFTEXT000030768770&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000030768764
92,David Cvach,inconnue,inconnu,ENA (René Cassin),1,,,Homme,"Conseiller Afrique du Nord, Moyen-orient, Nations unies",1,27/07/2015,,01/03/2016,1,Conseiller Afrique du Nord-Moyen-Orient de la présidence de la République,Public,,218,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030930639,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
86,Jérôme Theillier,inconnue,inconnu,inconnue,0,,,Homme,Etat-major particuler,1,31/08/2015,,,,,,,287,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030611222
116,Sandrine Duchêne,06/05/1969,47,ENSAE,0,,,Femme,Directrice des Affaires Publiques d'AXA,,15/09/2015,,,,,,,272,https://group.axa.com/fr/newsroom/actualites/nomination-sandrine-duchene
83,Christophe Prochasson,1959,57,inconnue,0,,,Homme,"Conseiller en charge de l'éducation, de l'enseigment supérieur et de la recherche",1,16/09/2015,,,,,,,271,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031177237
85,Nicolas Machtou,1975,41,DEA de droit public,0,,,Homme,"Conseiller développement durable, énergie, transports, logement et ville",1,09/10/2015,,01/03/2016,1,"Conseiller énergie, transports, logement et ville de la présidence de la République",Public,,144,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031288114,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
115,Pierre Besnard,06/03/1966,50,DEUG Administration économique et sociale,0,,,Homme,Préfet de Tarn-et-Garonne,,04/01/2016,,,,,,,161,http://france3-regions.francetvinfo.fr/midi-pyrenees/tarn-et-garonne/montauban/un-nouveau-prefet-dans-le-tarn-et-garonne-pierre-besnard-prend-ses-fonctions-lundi-4-janvier-895393.html
93,Constance Rivière,03/07/1980,36,ENA (Aristide Briand),1,,,Femme,Conseillère spéciale chargée de la culture et de la citoyenneté à la présidence de la République,1,12/02/2016,1,01/03/2016,1,"Conseillère en charge de la culture, de la communication et de la citoyenneté de la présidence de la République",Public,,18,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032036312&categorieLien=id,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id"
96,Adrienne Brotons,inconnue,inconnu,IEP Paris,0,,,Femme,Conseillère adjointe économie et numérique,1,01/03/2016,,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
97,Nicolas Maccioni,1984,32,Master de droit public des affaires,0,,,Homme,Conseiller adjoint citoyenneté,1,01/03/2016,,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
98,Annabelle Vandendriesshe,inconnue,inconnu,ENA (Robert Badinter),1,,,Femme,Conseillère adjointe affaires intérieures et collectivités territoriales,1,01/03/2016,,19/05/2016,,Commissaire de police,Public,,79,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id,http://abonnes.lemonde.fr/politique/article/2016/05/18/a-l-elysee-des-departs-en-serie-signent-la-fin-d-une-epoque_4921171_823448.html"
99,Frédéric Monteil,inconnue,inconnu,Master de droit,0,,,Homme,Conseiller adjoint administration de la présidence,1,01/03/2016,,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
100,Constance Rivière,03/07/1980,36,ENA (Aristide Briand),1,,,Femme,"Conseillère spéciale en charge de la culture, de la communication et de la citoyenneté",1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
101,Adrien Abecassis,1982,34,IEP Paris,0,,,Homme,Conseiller études,1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
102,Jean-Jacques Barbéris,1980,36,ENA (Aristide Briand),1,,,Homme,Conseiller affaires économiques et financières nationales et européennes,1,01/03/2016,1,01/04/2016,,En charge des relations avec les banques centrales et les fonds souverains chez Amundi (filiale du Crédit agricole),Privé,,31,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id,http://www.acteurspublics.com/biographies/detail/140457"
103,Patrice Biancone,1954,62,Science-Po,0,,,Homme,Conseiller organisations non gouvernementales,1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
104,Pierre-Yves Bocquet,01/06/1973,43,ENA (Victor Schoelcher),1,,,Homme,Conseiller interventions et commémorations,1,01/03/2016,,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
105,Bernard Combes,13/02/1960,56,Diplôme en sciences de l'éducation,0,,,Homme,Conseiller projets locaux,1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
106,David Cvach,inconnue,inconnu,ENA (René Cassin),1,,,Homme,Conseiller Afrique du Nord-Moyen-Orient,1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
107,Nathalie Iannetta,15/05/1972,44,Maîtrise de sciences politiques,0,,,Femme,"Conseillère sport, jeunesse, engagment et vie associative",1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
108,Nicolas Machtou,1975,41,DEA droit public,0,,,Homme,"Conseiller énergie, transports, logement et ville",1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
109,Cyril Piquemal,1981,35,ENA (Simone Veil),1,,,Homme,"Conseiller affaires européennes bilatérales, Balkans et enjeux globaux",1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
110,Julien Pouget,inconnue,inconnu,Corps des Mines,0,,,Homme,Conseiller industrie et numérique,1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
111,François Revardeaux,inconnue,inconnu,DEA de langues romanes,0,,,Homme,"Conseiller affaires stratégiques, Russie, Europe orientale hors UE, Caucase, Asie centrale et politique extérieure de l'UE",1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
112,Alice Rufo,1983,33,ENA (Emile Zola),1,,,Femme,"Conseillère sommets internationaux, Nations unies, Amériques et Asie",1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
113,Michel Yahiel,01/04/1957,59,ENA (Henri-François d'Aguesseau),1,,,Homme,Conseiller social et emploi,1,01/03/2016,1,,,,,,104,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id
119,Olivier Lluansi,14/10/1969,47,Polytechnique,0,,,Homme,"Associé pour le secteur “Manufacturing” pour la France, le Maghreb et le Luxembourg, au sein de l’activité conseil d’EY (EY Advisory) ",,01/03/2016,,,,,,,104,http://www.acteurspublics.com/biographies/detail/34302
120,Jean-Pierre Hugues,1951,65,ENA (Voltaire),1,,,Homme,Directeur de cabinet,1,11/06/2016,,,,,,,,http://abonnes.lemonde.fr/politique/article/2016/06/10/le-nouveau-directeur-de-cabinet-de-hollande-nomme-pour-tenir-la-maison_4946866_823448.html
121,Ariane Amson,inconnue,inconnu,ENM,0,Conseillère au ministère de la Justice,Public,Femme,Conseillère justice,1,13/06/2016,0,,,,,,,https://www.mediapart.fr/journal/france/130616/la-politique-de-recrutement-clanique-de-jean-pierre-jouyet
