ID,Nom,Année de naissance,Age,Ecole,ENA,Poste origine,Origine privé ou public,Sexe,Poste,Présidence (O/N),Date entrée,Recrutement interne,Date sortie,Mobilité interne,Poste sortie,Sortie public ou privé,Date de sortie poste de sortie,Durée,Lien
15,Matthieu Peyraud,inconnue,inconnu,HEC,0,Adjoint au sous-directeur des affaires économiques internationales à la direction de l'économie globale et des stratégies de développement du ministère des Affaires étrangères,Public,Homme,"Conseiller G8-G20, enjeux globaux",1,17/05/2012,,15/08/2014,,Institut français des relations internationales,Public,,820,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029254262,http://www.france24.com/fr/20140611-laurence-boone-chef-economiste-bank-ok-america-conseillere-elysee-hollande,http://www.acteurspublics.com/biographies/detail/140360"
16,Sandrine Duchêne,06/05/1969,47,ENSAE,0,Cheffe du département de la conjoncture à la direction générale de l'Insee,Public,Femme,Conseillère politique économique et finances publiques,1,17/05/2012,,12/09/2013,,Directrice adjointe du Trésor,Privé,15/09/2015,483,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027960431,http://www.lemoci.com/lettre-confidentielle/sandrine-duchene-prend-la-tete-des-relations-internationales-a-la-dg-tresor-gratuit/,https://group.axa.com/fr/newsroom/actualites/nomination-sandrine-duchene,http://www.acteurspublics.com/biographies/detail/80882"
17,Hervé Naerhuysen,inconnue,inconnu,ENA (République),1,Responsable de la trésorerie de l’État et des procédures budgétaires à l’agence France Trésor à la direction générale du Trésor du ministère de l'Économie et des Finances,Public,Homme,Conseiller politiques fiscales et sectorielles,1,17/05/2012,,01/05/2015,,Directeur général de Pro BTP,Privé,,1079,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030524579,http://www.argusdelassurance.com/nominations/herve-naerhuysen-est-nomme-directeur-general-de-pro-btp.100389,http://www.acteurspublics.com/biographies/detail/140361"
18,Arnaud Oseredczuk,inconnue,inconnu,ENA (Averroès),1,"Secrétaire général adjoint de l'AMF, en charge de la direction de la gestion d’actifs et des marchés",Public,Homme,Conseiller financement de l'économie et euro,1,17/05/2012,,31/01/2014,,Autorité des Marchés financiers,Privé,,624,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028544108,http://www.agefi.fr/societes/autorite-marches-financiers-3746,http://www.acteurspublics.com/biographies/detail/33507"
19,Michel Yahiel,01/04/1957,59,ENA (Henri-François d'Aguesseau),1,Délégué général à l’association des régions de France,Public,Homme,"Conseiller travail, emploi et protection sociale",1,17/05/2012,,01/03/2016,1,Conseiller social et emploi de la présidence de la République,Public,,1384,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032153318&categorieLien=id,http://www.acteurspublics.com/biographies/detail/33225"
20,Patrick Vieu,inconnue,inconnu,ENA (Léon Gambetta),1,"Directeur de projet auprès du vice-président du conseil général de l'environnement et du développement durable au ministère de l'Écologie, du Développement durable, des Transports et du Logement",Public,Homme,Conseiller environnement et territoires,1,17/05/2012,,29/05/2014,,Conseiller du vice-président du Conseil général de l'environnement et du développement durable,Public,,742,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029009673,view-source:http://www.acteurspublics.com/biographies/detail/31487"
21,Olivier Lyon-Caen,05/01/1947,69,Doctorat de médecine,0,,,Homme,Conseiller santé et recherche médicale,1,17/05/2012,,,,,,,1488,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150
22,David Kessler,24/02/1959,57,"ENA (Liberté, Egalité, Fraternité)",1,Directeur de la publication du magazine Les Inrockuptibles,Privé,Homme,Conseiller culture et communication,1,17/05/2012,,01/10/2014,,Directeur d'Orange Studio,Privé,,867,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029413499,https://www.freenews.fr/freenews-edition-nationale-299/concurrence-149/ex-conseiller-dhollande-rejoint-orange,http://www.acteurspublics.com/biographies/detail/6630"
23,Faouzi Lamdoui,14/11/1962,54,Inconnu,0,Conseiller municipal d'Argenteuil,Public,Homme,Conseiller à l'égalité et à la diversité,1,17/05/2012,,04/12/2014,,Aucun,null,,931,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150;https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029833982,http://www.atlantico.fr/decryptage/faouzi-lamdaoui-ex-conseiller-elysee-en-disgrace-aurait-participe-au-financement-action-politique-francois-hollande-pendant-2125451.html,http://www.acteurspublics.com/biographies/detail/88859"
24,Pierre Valleix,07/04/1953,63,ENM,0,"Conseiller pour la justice au cabinet du président du Sénat, Jean-Pierre Bel",Public,Homme,Conseiller justice,1,17/05/2012,,31/08/2014,,Procureur général de la cour d'appel de Montpellier,Public,,836,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=302B187F1B3B14E10214D963F0EAA80C.tpdjo17v_3?cidTexte=JORFTEXT000029413492&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000029413489,http://www.heraultjuridique.com/juridique/pierre-valleix-nomme-procureur-general-pres-la-cour-d2019appel-de-montpellier,http://www.acteurspublics.com/biographies/detail/9789"
